,fldSectionID,Questionnaire.ITEM,Variable.name,fldResponsesID,skipbyResID,AdditionalSkipByResID,skipbyResIDPattern,simpleBoxSkip,text,,,,,,,,,,,,
1,HC,HC1PRE,NA,NA,NA,NA,NA,,FileNotinSP,,,,,,,,,,,,
2,HC,HC1,hc1health,"1,2,3,4,5",1,0,0,,resid=4,,,,,,,,,,,,
3,HC,HC2A,hc1disescn1,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
4,HC,HC2B,hc1disescn2,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
5,HC,HC2C,hc1disescn3,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
6,HC,HC2D,hc1disescn4,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
7,HC,HC2E,hc1disescn5,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
8,HC,HC2F,hc1disescn6,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
9,HC,HC2G,hc1disescn7,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
10,HC,HC2H,hc1disescn8,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
11,HC,HC2I,hc1disescn9,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
12,HC,HC2J,hc1disescn10,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
13,HC,BOX HC3,NA,NA,NA,NA,NA,,FileNotinSP,,,,,,,,,,,,
14,HC,HC3_1,hc1cancerty1,"1,2,3,4,91",1,1,1,,resid=4,,,,,,,,,,,,
15,HC,HC3_2,hc1cancerty2,"1,2,3,4,91",1,1,1,,resid=4,,,,,,,,,,,,
16,HC,HC3_3,hc1cancerty3,"1,2,3,4,91",1,1,1,,resid=4,,,,,,,,,,,,
17,HC,HC3_4,hc1cancerty4,"1,2,3,4,91",1,1,1,,resid=4,,,,,,,,,,,,
18,HC,HC3_5,hc1cancerty5,"1,2,3,4,91",1,1,1,,resid=4,,,,,,,,,,,,
19,HC,HC3_6,hc1cancerty6,"1,2,3,4,91",1,1,1,,resid=4,,,,,,,,,,,,
20,HC,HC3_7,hc1cancerty7,"1,2,3,4,91",1,1,1,,resid=4,,,,,,,,,,,,
21,HC,HC3_8,hc1cancerty8,"1,2,3,4,91",1,1,1,,resid=4,,,,,,,,,,,,
22,HC,HC3B,NA,NA,NA,NA,NA,,FileNotinSP,,,,,,,,,,,,
23,HC,BOX HC4,NA,NA,NA,NA,NA,,FileNotinSP,,,,BOX HC4,-1,"-8,2",HC2I,HC4,HC5_1,2,1,1
24,HC,HC4,hc1dementage,NA,1,1,1,0,resid=4 or hc2I=1,,,,BOX HC4,-1,"-8,2",HC2I,HC4,HC5_2,2,1,1
25,HC,HC5_1,hc1brokebon1,"1,2",1,0,0,,resid=4,,jump,hc2i=1,,,,,,,,,
26,HC,HC5_2,hc1brokebon2,"1,2",1,0,0,,resid=4,,jump,hc2i=1,,,,,,,,,
27,HC,HC6,hc1serdisill,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
28,HC,HC6,hc1serdisill,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
