"round1Inaplicable","OtherSkip2","round","label"
"4"," ",1,"health"
"4"," ",1,"disescn1"
"4"," ",1,"disescn2"
"4"," ",1,"disescn3"
"4"," ",1,"disescn4"
"4"," ",1,"disescn5"
"4"," ",1,"disescn6"
"4"," ",1,"disescn7"
"4"," ",1,"disescn8"
"4"," ",1,"disescn9"
"4"," ",1,"disescn10"
"1, 2, 4","1, 2",1,"cancerty1"
"1, 2, 4","1, 2",1,"dementage"
"4"," ",1,"brokebon1"
"4"," ",1,"brokebon2"
"4"," ",1,"serdisill"
"4"," ",1,"hosptstay"
"1, 2, 4","1, 2",1,"hosovrnht"
"4"," ",1,"kneesurg"
"1, 2, 4","1, 2",1,"knesrgyr"
"1, 2, 4","1, 2",1,"ageknesur"
"4"," ",1,"hipsurg"
"1, 2, 4","1, 2",1,"hipsrgyr"
"1, 2, 4","1, 2",1,"agehipsur"
"4"," ",1,"catarsurg"
"1, 2, 4","1, 2",1,"catrsrgyr"
"1, 2, 4","1, 2",1,"agecatsur"
"4"," ",1,"bckspnsur"
"1, 2, 4","1, 2",1,"backsrgyr"
"1, 2, 4","1, 2",1,"agebcksrg"
"4"," ",1,"heartsurg"
"1, 2, 4","1, 2",1,"hartsrgyr"
"1, 2, 4","1, 2",1,"agehrtsrg"
"4"," ",1,"fllsinmth"
"4"," ",1,"worryfall"
"1, 2, 4","1, 2",1,"worrylimt"
"1, 2, 4","1, 2",1,"faleninyr"
"1, 2, 4","1, 2",1,"multifall"
"4"," ",1,"depresan1"
"4"," ",1,"depresan2"
"4"," ",1,"depresan3"
"4"," ",1,"depresan4"
"4"," ",1,"aslep30mn"
"4"," ",1,"trbfalbck"
"4"," ",1,"sleepmed"
"6, 8","",10,"health"
"6, 8","",10,"disescn1"
"6, 8","",10,"disescn2"
"6, 8","",10,"disescn3"
"6, 8","",10,"disescn4"
"6, 8","",10,"disescn5"
"6, 8","",10,"disescn6"
"6, 8","",10,"disescn7"
"6, 8","",10,"disescn8"
"6, 8","",10,"disescn9"
"6, 8","",10,"disescn10"
"1, 2, 4, 6, 8","1, 2",10,"cancerty1"
"6, 8","",10,"brokebon1"
"6, 8","",10,"brokebon2"
"6, 8","",10,"hosptstay"
"1, 2, 4, 6, 8","1, 2, 4",10,"hosovrnht"
"6, 8","",10,"knesrgyr"
"6, 8","",10,"hipsrgyr"
"6, 8","",10,"catrsrgyr"
"6, 8","",10,"backsrgyr"
"6, 8","",10,"hartsrgyr"
"6, 8","",10,"fllsinmth"
"6, 8","",10,"worryfall"
"1, 2, 4, 6, 8","1, 2, 4",10,"worrylimt"
