,Questionnaire.ITEM,pattern,skipPrior,Resid1Inaplicable,boxText,boxValminus,indicatorResid,Indicator2,,IndicatorBox,just,Variable name,indicatorByResIDValue,indicatorByResID,texResid
1,HC1PRE,NA,NA,NA,NA,NA,NA,0,,0,0,NA,NA,NA,NA
2,HC1,NA,NA, ,NA,NA,0,0,,0,0,hc1health,-1,1,resid=4
3,HC1,NA,NA, ,NA,NA,0,0,,0,0,hc1health,-1,1,resid=4
4,HC1,NA,NA, ,NA,NA,0,0,,0,0,hc1health,-1,1,resid=4
5,HC1,NA,NA, ,NA,NA,0,0,,0,0,hc1health,-1,1,resid=4
6,HC1,NA,NA, ,NA,NA,0,0,,0,0,hc1health,-1,1,resid=4
7,HC2,NA,NA,NA,NA,NA,NA,0,,0,0,NA,NA,NA,NA
8,HC2,NA,NA,NA,NA,NA,NA,0,,0,0,NA,NA,NA,NA
9,BOX HC3,NA,NA,NA,"If HC2j = 1 (YES,CANCER), go to HC3.
Otherwise, go to BOX HC4.","-8,-7,2",NA,0,,0,0,NA,NA,NA,NA
10,HC3,NA,NA,"1, 2",NA,NA,1,1,,0,0,hc1cancerty1,-1,1,resid=4
11,HC3,HC3=1,NA,"1, 2",NA,NA,1,0,,0,0,hc1cancerty1,-1,1,resid=4
12,HC3,HC3=2,NA,"1, 2",NA,NA,1,0,,0,0,hc1cancerty1,-1,1,resid=4
13,HC3,HC3=3,NA,"1, 2",NA,NA,1,0,,0,0,hc1cancerty1,-1,1,resid=4
14,HC3,HC3=1,NA,"1, 2",NA,NA,1,0,,0,0,hc1cancerty1,-1,1,resid=4
15,HC3,HC3=2,NA,"1, 2",NA,NA,1,0,,0,0,hc1cancerty1,-1,1,resid=4
16,HC3,HC3=3,NA,"1, 2",NA,NA,1,0,,0,0,hc1cancerty1,-1,1,resid=4
17,HC3,HC3=1,NA,"1, 2",NA,NA,1,0,,0,0,hc1cancerty1,-1,1,resid=4
18,HC3,HC3=2,NA,"1, 2",NA,NA,1,0,,0,0,hc1cancerty1,-1,1,resid=4
19,HC3,HC3=3,NA,"1, 2",NA,NA,1,0,,0,0,hc1cancerty1,-1,1,resid=4
20,HC3,HC3=1,NA,"1, 2",NA,NA,1,0,,0,0,hc1cancerty1,-1,1,resid=4
21,HC3,HC3=2,NA,"1, 2",NA,NA,1,0,,0,0,hc1cancerty1,-1,1,resid=4
22,HC3,HC3=3,NA,"1, 2",NA,NA,1,0,,0,0,hc1cancerty1,-1,1,resid=4
23,HC3B,HC3=1,NA,NA,NA,NA,NA,0,,0,0,NA,NA,NA,NA
24,HC3B,HC3=2,NA,NA,NA,NA,NA,0,,0,0,NA,NA,NA,NA
25,HC3B,HC3=3,NA,NA,NA,NA,NA,0,,0,0,NA,NA,NA,NA
26,BOX HC4,NA,NA,NA,"If HC2i = 1 (YES,DEMENTIA), go to HC4.
Otherwise, go to HC5.","-8,2",NA,0,,0,0,NA,NA,NA,NA
27,HC4,NA,NA,"1, 2",NA,NA,1,1,,0,0,hc1dementage,-1,1,resid=4
28,HC5,NA,NA,NA,NA,NA,NA,0,,0,0,NA,NA,NA,NA
29,HC5,NA,NA,NA,NA,NA,NA,0,,0,0,NA,NA,NA,NA
30,HC5_2,NA,NA, ,NA,NA,0,0,,0,0,hc1brokebon2,-1,1,resid=4
31,HC5_2,NA,NA, ,NA,NA,0,0,,0,0,hc1brokebon2,-1,1,resid=4
32,HC6,NA,NA, ,NA,NA,0,0,,0,0,hc1serdisill,-1,1,resid=4
33,HC6,HC6=2,NA, ,NA,NA,0,0,,0,0,hc1serdisill,-1,1,resid=4
34,HC6A,HC6=2,NA,NA,NA,NA,NA,0,,0,0,NA,NA,NA,NA
35,HC7,NA,NA, ,NA,NA,0,0,,0,0,hc1hosptstay,-1,1,resid=4
36,HC7,HC7=2,NA, ,NA,NA,0,0,,0,0,hc1hosptstay,-1,1,resid=4
37,HC8,HC7=2,"-8,-7,2","1, 2",NA,NA,1,0,HC7=2,0,"HC7=2-8,-7,2",hc1hosovrnht,-1,1,resid=4
38,HC9PRE,NA,NA,NA,NA,NA,NA,0,,0,0,NA,NA,NA,NA
39,HC9A,NA,NA, ,NA,NA,0,0,,0,0,hc1kneesurg,-1,1,resid=4
40,HC9A,NA,NA, ,NA,NA,0,0,,0,0,hc1kneesurg,-1,1,resid=4
41,HC9B,HC9A=2,"-8,2","1, 2",NA,NA,1,0,,0,"HC9A=2-8,2",hc1knesrgyr,-1,1,resid=4
