"","Questionnaire.ITEM","Variable.name","fldResponseID","fldSkipTo","item1","item2","pattern","SP Public File","OP Public File","Tracker File","Restricted (R) or Sensitive (S) Variable","Not on File","if_col","if_col1","if_col2","go_col","final_col","id_go","name_go","id_final","name_final","priorvariable","skipPrior","minus1Target","Resid1Inaplicable","skippedResid","skippedbyBoth","skippedbyBothFinal","boxText"
"1","HC1PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA
"2","HC1","hc1health",1,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"3","HC1","hc1health",2,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"4","HC1","hc1health",3,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"5","HC1","hc1health",4,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"6","HC1","hc1health",5,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"7","HC2",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA
"8","HC2",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA
"9","BOX HC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HC2j = 1","HC2J","1","HC3","BOX HC4",5.1,"hc1cancerty1",5.95,NA,NA,NA,NA,NA,0,0,3,"If HC2j = 1 (YES,CANCER), go to HC3.
Otherwise, go to BOX HC4."
"10","HC3","hc1cancerty1",1,"BOX HC4",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2",1,0,1,NA
"11","HC3","hc1cancerty1",2,"BOX HC4","HC3=1",NA,"HC3=1","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2",1,0,2,NA
"12","HC3","hc1cancerty1",2,"BOX HC4","HC3=2",NA,"HC3=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2",1,0,2,NA
"13","HC3","hc1cancerty1",2,"BOX HC4","HC3=3",NA,"HC3=3","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2",1,0,2,NA
"14","HC3","hc1cancerty1",3,"BOX HC4","HC3=1",NA,"HC3=1","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2",1,0,2,NA
"15","HC3","hc1cancerty1",3,"BOX HC4","HC3=2",NA,"HC3=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2",1,0,2,NA
"16","HC3","hc1cancerty1",3,"BOX HC4","HC3=3",NA,"HC3=3","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2",1,0,2,NA
"17","HC3","hc1cancerty1",4,NA,"HC3=1",NA,"HC3=1","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2",1,0,2,NA
"18","HC3","hc1cancerty1",4,NA,"HC3=2",NA,"HC3=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2",1,0,2,NA
"19","HC3","hc1cancerty1",4,NA,"HC3=3",NA,"HC3=3","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2",1,0,2,NA
"20","HC3","hc1cancerty1",91,NA,"HC3=1",NA,"HC3=1","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2",1,0,2,NA
"21","HC3","hc1cancerty1",91,NA,"HC3=2",NA,"HC3=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2",1,0,2,NA
"22","HC3","hc1cancerty1",91,NA,"HC3=3",NA,"HC3=3","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2",1,0,2,NA
"23","HC3B",NA,NA,NA,"HC3=1",NA,"HC3=1",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,NA
"24","HC3B",NA,NA,NA,"HC3=2",NA,"HC3=2",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,NA
"25","HC3B",NA,NA,NA,"HC3=3",NA,"HC3=3",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,NA
"26","BOX HC4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HC2i = 1","HC2I","1","HC4","HC5",6,"hc1dementage",7,NA,NA,NA,NA,NA,0,0,3,"If HC2i = 1 (YES,DEMENTIA), go to HC4.
Otherwise, go to HC5."
"27","HC4","hc1dementage",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2",1,0,1,NA
"28","HC5",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA
"29","HC5",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA
